Team,G,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from  0-3,FG% from  3-10,FG% from  10-16,FG% from  16-3P,FG% from  3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%FGA from layups,# of made layups,%3PA from the corner,3P% from the corner
Atlanta Hawks,82,19855,0.465,0.592,0.247,0.194,0.104,0.047,0.408,0.535,0.649,0.437,0.477,0.471,0.364,0.537,0.791,0.065,445,0.259,1006,0.26,0.38
Boston Celtics,82,19830,0.487,0.529,0.212,0.181,0.083,0.053,0.471,0.575,0.745,0.478,0.454,0.418,0.388,0.503,0.796,0.066,439,0.249,1086,0.204,0.441
Brooklyn Nets,82,19805,0.456,0.588,0.242,0.199,0.094,0.053,0.412,0.522,0.692,0.406,0.433,0.346,0.362,0.527,0.844,0.054,353,0.266,1081,0.261,0.414
Chicago Bulls,82,19980,0.47,0.642,0.266,0.181,0.106,0.089,0.358,0.532,0.642,0.465,0.481,0.404,0.358,0.488,0.876,0.039,236,0.274,1156,0.275,0.385
Charlotte Hornets,82,19730,0.46,0.609,0.251,0.198,0.094,0.065,0.391,0.528,0.692,0.438,0.404,0.344,0.355,0.525,0.839,0.059,381,0.259,1036,0.219,0.367
Cleveland Cavaliers,82,19805,0.479,0.578,0.276,0.19,0.073,0.039,0.422,0.561,0.686,0.448,0.457,0.416,0.367,0.589,0.844,0.07,444,0.26,1056,0.239,0.376
Dallas Mavericks,82,19705,0.481,0.559,0.222,0.175,0.098,0.064,0.441,0.569,0.747,0.47,0.451,0.404,0.369,0.524,0.735,0.069,447,0.225,998,0.274,0.362
Denver Nuggets,82,19705,0.496,0.648,0.265,0.209,0.09,0.083,0.352,0.562,0.688,0.487,0.457,0.464,0.374,0.598,0.864,0.066,438,0.282,1152,0.238,0.384
Detroit Pistons,82,19755,0.463,0.64,0.224,0.242,0.112,0.063,0.36,0.528,0.679,0.461,0.455,0.377,0.348,0.541,0.844,0.072,470,0.27,1058,0.273,0.359
Golden State Warriors,82,19830,0.477,0.575,0.185,0.238,0.083,0.069,0.425,0.548,0.716,0.504,0.419,0.41,0.38,0.599,0.81,0.055,370,0.289,1266,0.163,0.395
Houston Rockets,82,19855,0.459,0.603,0.237,0.215,0.084,0.066,0.397,0.53,0.675,0.437,0.455,0.407,0.352,0.512,0.781,0.059,379,0.294,1199,0.171,0.395
Indiana Pacers,82,19705,0.507,0.62,0.259,0.22,0.094,0.047,0.38,0.589,0.718,0.493,0.505,0.497,0.374,0.576,0.855,0.059,415,0.319,1440,0.234,0.405
Los Angeles Clippers,82,19705,0.489,0.617,0.228,0.207,0.12,0.063,0.383,0.555,0.72,0.469,0.472,0.402,0.381,0.544,0.744,0.07,433,0.252,1005,0.247,0.417
Los Angeles Lakers,82,19855,0.499,0.642,0.259,0.221,0.097,0.065,0.358,0.567,0.769,0.451,0.428,0.365,0.377,0.591,0.822,0.081,533,0.289,1245,0.248,0.388
Memphis Grizzlies,82,19780,0.435,0.572,0.238,0.222,0.071,0.04,0.428,0.502,0.652,0.397,0.409,0.359,0.346,0.526,0.873,0.044,277,0.255,999,0.244,0.351
Miami Heat,82,19755,0.465,0.606,0.194,0.248,0.111,0.053,0.394,0.527,0.672,0.494,0.409,0.399,0.37,0.537,0.892,0.049,301,0.254,998,0.276,0.398
Milwaukee Bucks,82,19805,0.487,0.57,0.238,0.167,0.092,0.073,0.43,0.574,0.761,0.43,0.447,0.456,0.373,0.504,0.841,0.056,372,0.26,1155,0.255,0.414
Minnesota Timberwolves,82,19805,0.485,0.616,0.25,0.228,0.089,0.048,0.384,0.546,0.716,0.439,0.439,0.376,0.387,0.547,0.869,0.075,465,0.269,1066,0.279,0.409
New Orleans Pelicans,82,19705,0.486,0.627,0.254,0.218,0.099,0.056,0.373,0.548,0.695,0.44,0.472,0.434,0.383,0.531,0.883,0.053,343,0.294,1175,0.266,0.434
New York Knicks,82,19730,0.465,0.596,0.252,0.19,0.107,0.047,0.404,0.531,0.658,0.451,0.433,0.392,0.369,0.474,0.837,0.051,325,0.256,1024,0.269,0.414
Oklahoma City Thunder,82,19805,0.499,0.617,0.252,0.191,0.117,0.057,0.383,0.567,0.712,0.458,0.503,0.422,0.389,0.487,0.894,0.054,350,0.284,1233,0.243,0.416
Orlando Magic,82,19780,0.476,0.631,0.269,0.221,0.091,0.05,0.369,0.549,0.722,0.44,0.397,0.38,0.352,0.509,0.879,0.072,453,0.309,1244,0.262,0.366
Philadelphia 76ers,82,19780,0.464,0.627,0.261,0.204,0.099,0.063,0.373,0.525,0.669,0.407,0.452,0.424,0.363,0.51,0.818,0.048,309,0.295,1182,0.217,0.41
Phoenix Suns,82,19780,0.493,0.622,0.224,0.184,0.134,0.081,0.378,0.561,0.713,0.457,0.499,0.474,0.382,0.543,0.864,0.056,346,0.237,973,0.249,0.405
Portland Trail Blazers,82,19880,0.439,0.63,0.241,0.22,0.102,0.067,0.37,0.494,0.637,0.394,0.422,0.415,0.345,0.484,0.838,0.047,293,0.3,1142,0.239,0.371
Sacramento Kings,82,19855,0.477,0.568,0.206,0.218,0.096,0.048,0.432,0.561,0.715,0.509,0.439,0.378,0.366,0.543,0.879,0.054,356,0.262,1166,0.244,0.393
San Antonio Spurs,82,19830,0.462,0.599,0.258,0.2,0.088,0.052,0.401,0.539,0.692,0.445,0.427,0.338,0.347,0.625,0.914,0.066,437,0.27,1142,0.235,0.384
Toronto Raptors,82,19805,0.471,0.631,0.27,0.221,0.086,0.054,0.369,0.543,0.702,0.439,0.404,0.397,0.347,0.588,0.903,0.048,313,0.31,1346,0.253,0.38
Utah Jazz,82,19805,0.467,0.594,0.201,0.289,0.071,0.033,0.406,0.544,0.725,0.471,0.412,0.372,0.354,0.544,0.882,0.072,489,0.273,1102,0.276,0.39
